trilha;curso;curso_id;modulo;aula;aula_id;ord;tipo;duracao_min;resolucoes;n_extras;url_aula;m3u8_principal;video_uuid
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Introdução;Setups Iniciais Plugin Xano Connector;2570;4;video;3.8;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2570;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/a9bb4a08-253c-466b-ae3e-ad649a125847/playlist.m3u8;a9bb4a08-253c-466b-ae3e-ad649a125847
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;;Conta pra gente, o que achou desse módulo?;4647;4;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4647;;
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Design Minha Lista e Option Sets Status;2571;1;video;3.4;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2571;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/f41f6bc4-613a-42b0-bfef-cadb49f5f071/playlist.m3u8;f41f6bc4-613a-42b0-bfef-cadb49f5f071
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Get - Pegar Todos Filmes Do Xano;2572;2;video;15.2;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2572;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/bc6fd94c-1204-4e31-8f10-6b9acd2440d2/playlist.m3u8;bc6fd94c-1204-4e31-8f10-6b9acd2440d2
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Post - Adicionar Filme No Xano;2573;3;video;9.8;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2573;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/086848b3-42ab-495f-b4f7-708d45c68999/playlist.m3u8;086848b3-42ab-495f-b4f7-708d45c68999
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Post - Testes E Ajustes Https;2574;4;video;4.9;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2574;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/84c5f9b3-7db6-4a8e-84ad-f8b46149d8d5/playlist.m3u8;84c5f9b3-7db6-4a8e-84ad-f8b46149d8d5
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Get - Detalhamento De Um Filme;2575;5;video;8.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2575;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/fbc085f7-c933-4fae-acb5-c21659f76526/playlist.m3u8;fbc085f7-c933-4fae-acb5-c21659f76526
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Put - Editar Filme;2576;6;video;7.8;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2576;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/11d5f0d8-c24b-4e13-8851-731ef5cbb7dd/playlist.m3u8;11d5f0d8-c24b-4e13-8851-731ef5cbb7dd
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Put - Testes E Ajustes Https Find And Replace;2577;7;video;3.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2577;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/c802b663-67a8-41ac-b281-a4c649a214ed/playlist.m3u8;c802b663-67a8-41ac-b281-a4c649a214ed
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;CRUD Completo Xano + Bubble;Chamada Delele - Deletar Filme No Xano;2578;8;video;5.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2578;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/f125b579-982e-48a2-92d4-851dd87f93aa/playlist.m3u8;f125b579-982e-48a2-92d4-851dd87f93aa
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Autentificação Login e Cadastro Xano + Bubble;Autentificação de Usuários - Login e Cadastro;2579;1;video;10.8;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2579;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/317fdaed-5d9c-4ad3-9b79-7401c41def08/playlist.m3u8;317fdaed-5d9c-4ad3-9b79-7401c41def08
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Autentificação Login e Cadastro Xano + Bubble;Endpoints Públicos X Privados e Segurança Xano;2580;2;video;7.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2580;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/e216565c-9a76-49a9-9420-c26156ac6b9f/playlist.m3u8;e216565c-9a76-49a9-9420-c26156ac6b9f
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Fechamento e Aprendizados;Fechamento e Aprendizados;2581;1;video;1.3;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2581;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/9dc9e8d2-68a6-4daa-aedb-c1a1e47eee6a/playlist.m3u8;9dc9e8d2-68a6-4daa-aedb-c1a1e47eee6a
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Introdução e Recapitulação;Introdução e Recapitulação;2597;1;video;4.0;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2597;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/1ea34947-9fe1-4274-b561-629deb0cf584/playlist.m3u8;1ea34947-9fe1-4274-b561-629deb0cf584
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;;Conta pra gente, o que achou desse módulo?;4648;3;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4648;;
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Multiusuários no Xano;Filtro De Usuário Autenficidado Get All Filmes;2598;1;video;3.1;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2598;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/5f7334eb-ae3d-4176-b2f0-c8e2d1998836/playlist.m3u8;5f7334eb-ae3d-4176-b2f0-c8e2d1998836
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Multiusuários no Xano;Post - Vincular Usuário Logado Ao Novo Filme;2599;2;video;3.7;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2599;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/c9ccd417-ca85-4577-a679-767cde9afd55/playlist.m3u8;c9ccd417-ca85-4577-a679-767cde9afd55
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Multiusuários no Xano;Get Um Filme - Pré Condição Usuário Logado;2600;3;video;4.7;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2600;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/9d1b3768-addb-4caf-9bcb-0924a609f046/playlist.m3u8;9d1b3768-addb-4caf-9bcb-0924a609f046
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Multiusuários no Xano;Put - Editar Apenas Filmes Do Usuário;2601;4;video;6.1;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2601;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/60d289a2-ab19-4d42-9dfa-58aa5af4dfde/playlist.m3u8;60d289a2-ab19-4d42-9dfa-58aa5af4dfde
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Multiusuários no Xano;Delete - Deletar Apenas Filmes Do Usuário;2602;5;video;3.3;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2602;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/6cbf216a-d4de-4051-87df-b55459683ddd/playlist.m3u8;6cbf216a-d4de-4051-87df-b55459683ddd
Integração Backend Xano + Bubble | App Filmes;M4 - Segurança Multiusuários Xano Backend | App Filmes;242;Funções Reutilizáveis;Funções Reutilizáveis Xano;2603;1;video;10.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2603;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/660d228a-7a3c-436f-a8ae-67ba675ef97b/playlist.m3u8;660d228a-7a3c-436f-a8ae-67ba675ef97b
Trilha Agentes IA;Introdução Formação Agentes IA;371;;Introdução ao Ecossistema e a Formação Agentes IA;4073;0;video;12.2;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4073;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/e7c03c8e-c62e-40a9-9695-37cfb67199b4/playlist.m3u8;e7c03c8e-c62e-40a9-9695-37cfb67199b4
Trilha Agentes IA;Seu Primeiro Agente IA em 30 min 2.0;435;;Crie seu Primeiro Agente IA em 30 min;4343;0;video;33.0;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4343;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/da76ff26-aa20-4bc9-b47d-92f4ee8fb035/playlist.m3u8;da76ff26-aa20-4bc9-b47d-92f4ee8fb035
Trilha Agentes IA;Seu Primeiro Agente IA em 30 min 2.0;435;;Conta pra gente, o que achou desse módulo?;4520;1;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4520;;
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;1 - Boas Vindas ao Módulo;1.1 - O que você irá aprender e porque esse módulo é tão importante;4674;1;video;4.0;640x360/856x480/1284x720/1928x1080;1;https://flix.nocodestartup.io/m/lessons/4674;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/5f21d8e3-5bc1-4b81-afd3-c78ae9f1ddeb/playlist.m3u8;5f21d8e3-5bc1-4b81-afd3-c78ae9f1ddeb
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;;Conta pra gente, o que achou desse módulo?;4673;6;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4673;;
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;2- Arquitetura de Projetos de Tecnologia;2.1 - Arquitetura de Projetos de Software;4675;1;video;7.9;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4675;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/3d2f927a-fe9c-4d35-979f-1a0adf0289d5/playlist.m3u8;3d2f927a-fe9c-4d35-979f-1a0adf0289d5
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;2- Arquitetura de Projetos de Tecnologia;2.2 - Melhores Ferramentas de IA e NoCode;4676;2;video;8.2;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4676;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/6992a3f1-ffe9-4c99-8d6e-4da2d44b336d/playlist.m3u8;6992a3f1-ffe9-4c99-8d6e-4da2d44b336d
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;2- Arquitetura de Projetos de Tecnologia;2.3 - Exemplos de Projetos IA (Explorando arquitetura);4677;3;video;7.6;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4677;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/d2d926ee-8cf9-4370-b535-cf2b664f354c/playlist.m3u8;d2d926ee-8cf9-4370-b535-cf2b664f354c
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;3 - Agentes IA;3.1 - O poder dos Agentes IA;4678;1;video;7.0;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4678;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/1314aac5-229f-4ab3-8752-f5e58fbedb23/playlist.m3u8;1314aac5-229f-4ab3-8752-f5e58fbedb23
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;3 - Agentes IA;3.2 - Prompts - Diretrizes e boas práticas;4679;2;video;3.3;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4679;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/afb0f580-493e-4bc8-aaab-ef82d947983a/playlist.m3u8;afb0f580-493e-4bc8-aaab-ef82d947983a
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;4 - APIs e Webhooks;4.1 - Fundamentos APIs;4680;1;video;5.7;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4680;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/75f2cde6-d5b1-4575-a5db-703137b110c6/playlist.m3u8;75f2cde6-d5b1-4575-a5db-703137b110c6
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;4 - APIs e Webhooks;4.2 - Exemplos Práticos APIs;4681;2;video;4.6;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4681;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/764524b7-977c-4999-b9f1-627dab785f19/playlist.m3u8;764524b7-977c-4999-b9f1-627dab785f19
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;4 - APIs e Webhooks;4.3 - O que são Webhooks;4682;3;video;4.3;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4682;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/48df5c3f-b258-4e58-9390-85ccc599cf4a/playlist.m3u8;48df5c3f-b258-4e58-9390-85ccc599cf4a
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;5 - Monetização;5.1 - Formas de ganhar Dinheiro com NoCode + IA;4683;1;video;6.5;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4683;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/c4830767-fa9a-403b-ab89-5b8c91d41c5c/playlist.m3u8;c4830767-fa9a-403b-ab89-5b8c91d41c5c
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;6 - Finalização;6.1 - Resumo do que Aprendemos;4684;1;video;1.7;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4684;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/6b389061-4b8c-4aa9-91b9-c7727c517c02/playlist.m3u8;6b389061-4b8c-4aa9-91b9-c7727c517c02
Trilha Agentes IA;Fundamentos Essenciais de Desenvolvimento - Projetos IA;450;6 - Finalização;6.2 - [Extra] Como aprender Agentes IA em 5 semanas;4454;2;arquivo;0.0;;0;https://flix.nocodestartup.io/m/lessons/4454;;
Trilha Agentes IA;Framework NoCode StartUp.AI;451;1 - Introdução;1.1 - O que você irá aprender;4685;1;video;1.4;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4685;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/3b082bf6-b1ca-43d3-899e-f02e89358d25/playlist.m3u8;3b082bf6-b1ca-43d3-899e-f02e89358d25
Trilha Agentes IA;Framework NoCode StartUp.AI;451;1 - Introdução;1.2 - O Framework;4698;2;video;5.6;640x360/856x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/4698;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/80656297-1c6e-4175-80e0-1dbbffdf6822/playlist.m3u8;80656297-1c6e-4175-80e0-1dbbffdf6822
Trilha Agentes IA;Framework NoCode StartUp.AI;451;;Conta pra gente, o que achou desse módulo?;4694;2;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4694;;
Trilha Agentes IA;Framework NoCode StartUp.AI;451;2- A metodologia;2.1 - Visão Estratégica;4699;1;video;6.4;640x360/856x480/1284x720/1928x1080;0;https://flix.nocodestartup.io/m/lessons/4699;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/108fd338-2274-4f67-b873-ed17280ddede/playlist.m3u8;108fd338-2274-4f67-b873-ed17280ddede
Trilha Agentes IA;Framework NoCode StartUp.AI;451;2- A metodologia;2.2 - Insights do Mercado;4700;2;video;3.6;640x360/856x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/4700;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/349cc900-0e5c-45f2-914a-80b0305a5b38/playlist.m3u8;349cc900-0e5c-45f2-914a-80b0305a5b38
Trilha Agentes IA;Framework NoCode StartUp.AI;451;2- A metodologia;2.3 - Arquitetura Técnica;4701;3;video;9.8;640x360/856x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/4701;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/206f6724-82bd-4ed5-b921-294fb91bef0b/playlist.m3u8;206f6724-82bd-4ed5-b921-294fb91bef0b
Trilha Agentes IA;Framework NoCode StartUp.AI;451;2- A metodologia;2.4 - Criação Interativa;4702;4;video;2.3;640x360/856x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/4702;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/e0dade8b-9041-4001-a77c-6ea70ab358f0/playlist.m3u8;e0dade8b-9041-4001-a77c-6ea70ab358f0
Trilha Agentes IA;Framework NoCode StartUp.AI;451;2- A metodologia;2.5 - Lançamento e PDCA;4703;5;video;3.2;640x360/856x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/4703;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/422640a7-83d6-47dc-b421-722d82ba7f61/playlist.m3u8;422640a7-83d6-47dc-b421-722d82ba7f61
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.1 - Introdução A Engenharia De Prompt;3843;1;video;3.7;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3843;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/13946ffe-9d0e-4594-8c8d-c0bf47d3c7ff/playlist.m3u8;13946ffe-9d0e-4594-8c8d-c0bf47d3c7ff
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.2 - Limitações Conhecidas Dos Llms;3844;2;video;8.6;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3844;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/fef71073-4b4e-45ff-8b8f-6311c4e4b035/playlist.m3u8;fef71073-4b4e-45ff-8b8f-6311c4e4b035
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.3 - Diretriz 1 - Instruções Claras E Específicas;3846;3;video;7.0;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3846;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/95303520-d502-4a02-a2ab-fc626fb243a4/playlist.m3u8;95303520-d502-4a02-a2ab-fc626fb243a4
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.4 - Diretriz 2 - Formatação Importa! Use Xml E Markdowns;3845;4;video;6.7;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3845;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/5e5ec318-c5db-412f-8c94-b30a0a99fedf/playlist.m3u8;5e5ec318-c5db-412f-8c94-b30a0a99fedf
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.5 - Diretriz 3 - Use Exemplos E Quebre Tarefas Complexas;3848;5;video;5.0;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3848;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/b25c779f-308c-4a9a-a769-18682a1cc11e/playlist.m3u8;b25c779f-308c-4a9a-a769-18682a1cc11e
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;1 - Engenharia de Prompt - Principais Diretrizes;1.6 - Diretriz 4 - Dê Tempo Para O Modelo Pensar;3847;6;video;4.7;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3847;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/40d04b50-97d2-4583-bfc1-2dd3de27897a/playlist.m3u8;40d04b50-97d2-4583-bfc1-2dd3de27897a
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;;Conta pra gente, o que achou desse módulo?;4523;3;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4523;;
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;2 - Engenharia de Prompt - Técnicas de Eng. Prompts;2.1- Técnicas: Zero-Shot E Few-Shot Prompting;3850;1;video;7.2;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3850;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/61491881-73e1-418f-baf0-ababe09014b5/playlist.m3u8;61491881-73e1-418f-baf0-ababe09014b5
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;2 - Engenharia de Prompt - Técnicas de Eng. Prompts;2.2 - Técnicas : Chain Of Thought (Cot);3849;2;video;4.9;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3849;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/ebea47dc-290a-4220-8175-2fc27e0a6b0b/playlist.m3u8;ebea47dc-290a-4220-8175-2fc27e0a6b0b
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;2 - Engenharia de Prompt - Técnicas de Eng. Prompts;2.3 - Técnicas: Prompt Chaining;3851;3;video;3.3;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3851;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/8f0c214d-da2e-45e4-b6dc-f06b749e6122/playlist.m3u8;8f0c214d-da2e-45e4-b6dc-f06b749e6122
Trilha Agentes IA;Fundamentos Engenharia de Prompts;369;3 - Engenharia de Prompt - Dicas Extras;3.1 - A Estrutura De Um Bom Prompt;3852;1;video;7.2;640x360/854x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/3852;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/b7b26917-3b80-4178-be0e-a27703f0f892/playlist.m3u8;b7b26917-3b80-4178-be0e-a27703f0f892
